condition	type	feature	score
t0.5_t0	perturbation	EGFR	1
t8_t4	perturbation	EGFR	1
t2_t1	perturbation	EGFR	1
t1_t0.5	perturbation	EGFR	1
t3_t2	perturbation	EGFR	1
t4_t3	perturbation	EGFR	1
t0.5_t0	measurement	ETS1	15.772276864679506
t8_t4	measurement	EGR1	-14.493583254532021
t0.5_t0	measurement	SRF	14.189989009604735
t0.5_t0	measurement	ELK1	13.843081862746526
t0.5_t0	measurement	EGR1	12.28290297695781
t0.5_t0	measurement	CREB1	11.689582875061879
t0.5_t0	measurement	FOSL2	11.126151441682996
t8_t4	measurement	SRF	-10.840002020126848
t0.5_t0	measurement	STAT3	9.884291918288328
t0.5_t0	measurement	SP1	9.698255981048646
t0.5_t0	measurement	NFKB1	9.576950614981314
t0.5_t0	measurement	RELA	9.56956203231978
t0.5_t0	measurement	JUN	9.463833302422783
t0.5_t0	measurement	FOXO4	9.268106326451779
t0.5_t0	measurement	JUNB	9.23153433160167
t0.5_t0	measurement	BHLHE40	9.183785134059514
t0.5_t0	measurement	ETS2	8.295184257403532
t0.5_t0	measurement	HIF1A	8.194391684942222
t8_t4	measurement	STAT5B	-8.182460692119768
t8_t4	measurement	KLF4	-8.098326219287042
t2_t1	measurement	CTCF	7.930151450255664
t2_t1	measurement	GLI1	7.8399569083435185
t1_t0.5	measurement	ELK1	-7.620866295194691
t0.5_t0	measurement	TFAP2A	7.58086098832725
t1_t0.5	measurement	FOXO3	-7.578481437389677
t0.5_t0	measurement	ATF4	7.318315220556671
t0.5_t0	measurement	JUND	7.24777561086806
t8_t4	measurement	TCF4	-7.168029119695915
t8_t4	measurement	TCF7L2	-7.152148244373966
t0.5_t0	measurement	PPARA	7.0564245022656
t0.5_t0	measurement	KLF4	6.9741717428839545
t0.5_t0	measurement	ELK4	6.960538992842336
t0.5_t0	measurement	LEF1	6.861995423943282
t2_t1	measurement	EGR1	6.858132877416937
t8_t4	measurement	FOS	-6.830584125405969
t0.5_t0	measurement	STAT1	6.780003328451265
t0.5_t0	measurement	TBP	6.761690791490585
t0.5_t0	measurement	VDR	6.608552463524389
t8_t4	measurement	JUN	-6.598417650177106
t8_t4	measurement	HNF4A	-6.5918521048620224
t0.5_t0	measurement	CEBPB	6.590530065077952
t0.5_t0	measurement	FOS	6.501229935845432
