statistic	source	condition	score	p_value
norm_wmean	AHR	t0.5_t0	5.864653769554037	0.02
norm_wmean	AHR	t1_t0.5	-0.11176178034596099	0.54
norm_wmean	AHR	t2_t1	1.9421488085614664	0.44
norm_wmean	AHR	t3_t2	-2.458497011715995	0.02
norm_wmean	AHR	t4_t3	-0.772374400294898	0.9
norm_wmean	AHR	t8_t4	-2.0389997571038045	0.2
norm_wmean	AR	t0.5_t0	0.3963508140017694	0.5
norm_wmean	AR	t1_t0.5	-1.1278062476233657	0.34
norm_wmean	AR	t2_t1	3.5998600049431437	0.68
norm_wmean	AR	t3_t2	-0.10392518236758666	0.43999999999999995
norm_wmean	AR	t4_t3	-2.752609722652453	0.02
norm_wmean	AR	t8_t4	-1.6016667607542738	0.21999999999999997
norm_wmean	ARID3A	t0.5_t0	4.118432191028784	0.02
norm_wmean	ARID3A	t1_t0.5	-5.238932257379536	0.02
norm_wmean	ARID3A	t2_t1	2.135520312109295	0.22
norm_wmean	ARID3A	t3_t2	-0.17105385821314495	0.72
norm_wmean	ARID3A	t4_t3	-2.6469182466322803	0.02
norm_wmean	ARID3A	t8_t4	-2.259263099997875	0.14
norm_wmean	ARNT	t0.5_t0	1.3862011116743218	0.06000000000000005
norm_wmean	ARNT	t1_t0.5	-1.7200818959309057	0.14
norm_wmean	ARNT	t2_t1	0.07126237312926069	0.8400000000000001
norm_wmean	ARNT	t3_t2	-0.9666863178796756	0.64
norm_wmean	ARNT	t4_t3	-1.9573773205056941	0.06
norm_wmean	ARNT	t8_t4	1.5343475296707525	0.14
norm_wmean	ARNTL	t0.5_t0	2.8325609187344973	0.18
norm_wmean	ARNTL	t1_t0.5	-1.3124597654881565	0.38
norm_wmean	ARNTL	t2_t1	-2.466555766564027	0.08
norm_wmean	ARNTL	t3_t2	-0.9920606249076893	0.42
norm_wmean	ARNTL	t4_t3	-1.668220677167725	0.22
norm_wmean	ARNTL	t8_t4	-0.199922173064143	0.3600000000000001
norm_wmean	ASCL1	t0.5_t0	0.5422741641309304	0.17999999999999994
norm_wmean	ASCL1	t1_t0.5	0.90869466375208785	0.96
norm_wmean	ASCL1	t2_t1	3.560050238369562	0.08
norm_wmean	ASCL1	t3_t2	0.6034828791719401	0.8200000000000001
norm_wmean	ASCL1	t4_t3	1.5992737574577365	0.26
norm_wmean	ASCL1	t8_t4	-4.188799142975094	0.02
norm_wmean	ATF1	t0.5_t0	2.5769105110611976	0.98
norm_wmean	ATF1	t1_t0.5	-0.516457822163915	0.84
norm_wmean	ATF1	t2_t1	-0.4978660388616869	0.62
norm_wmean	ATF1	t3_t2	-5.405909875114915	0.02
norm_wmean	ATF1	t4_t3	-3.286968426878422	0.02
norm_wmean	ATF1	t8_t4	1.5282168057957484	0.08
norm_wmean	ATF2	t0.5_t0	4.501704216274469	0.04
norm_wmean	ATF2	t1_t0.5	-0.8139238425410107	0.32
norm_wmean	ATF2	t2_t1	-0.7686473234056774	0.42
norm_wmean	ATF2	t3_t2	-2.2616205856333442	0.04
norm_wmean	ATF2	t4_t3	-0.6205447166141863	0.98
norm_wmean	ATF2	t8_t4	-0.8639821958820673	0.6799999999999999
norm_wmean	ATF3	t0.5_t0	6.467011008755419	0.02
norm_wmean	ATF3	t1_t0.5	-1.296152490104217	0.2
norm_wmean	ATF3	t2_t1	-1.6605341275458592	0.08
norm_wmean	ATF3	t3_t2	-2.2215880541281283	0.06
norm_wmean	ATF3	t4_t3	-0.27946004628476473	0.74
norm_wmean	ATF3	t8_t4	-0.37613991615191944	0.040000000000000036
norm_wmean	ATF4	t0.5_t0	7.318315220556671	0.02
norm_wmean	ATF4	t1_t0.5	-5.210726065657002	0.02
norm_wmean	ATF4	t2_t1	-1.3082957928780856	0.22
norm_wmean	ATF4	t3_t2	0.45560172116342956	0.3600000000000001
norm_wmean	ATF4	t4_t3	-0.051385192359802406	0.5800000000000001
norm_wmean	ATF4	t8_t4	0.7423532019810511	0.6
norm_wmean	ATF6	t0.5_t0	4.140328484015244	0.02
norm_wmean	ATF6	t1_t0.5	-0.7581751894390848	0.56
norm_wmean	ATF6	t2_t1	0.3558026639902815	0.3999999999999999
norm_wmean	ATF6	t3_t2	1.336884393427611	0.52
norm_wmean	ATF6	t4_t3	0.6170286833506425	0.8999999999999999
norm_wmean	ATF6	t8_t4	-0.19905208398385169	0.21999999999999997
norm_wmean	ATF7	t0.5_t0	-2.3202864665199834	0.02
norm_wmean	ATF7	t1_t0.5	-3.2798370912829427	0.02
norm_wmean	ATF7	t2_t1	-1.2845553355159653	0.24
norm_wmean	ATF7	t3_t2	-1.2760861960180092	0.4
norm_wmean	ATF7	t4_t3	3.066811592010064	0.02
norm_wmean	ATF7	t8_t4	2.783623183212517	0.02
norm_wmean	BACH1	t0.5_t0	1.9097709040538893	0.56
norm_wmean	BACH1	t1_t0.5	0.05547581160185306	0.3600000000000001
norm_wmean	BACH1	t2_t1	2.8659118528647904	0.8200000000000001
norm_wmean	BACH1	t3_t2	-0.9607198776971422	0.56
norm_wmean	BACH1	t4_t3	-2.590738692686584	0.06
norm_wmean	BACH1	t8_t4	-4.013271300770089	0.04
norm_wmean	BCL6	t0.5_t0	1.626941231918023	0.92
norm_wmean	BCL6	t1_t0.5	0.46540645093980354	0.72
norm_wmean	BCL6	t2_t1	-1.7032864957448475	0.12
norm_wmean	BCL6	t3_t2	-1.501985744943301	0.28
norm_wmean	BCL6	t4_t3	0.8545510526855876	0.84
norm_wmean	BCL6	t8_t4	0.9400857122706643	0.4
norm_wmean	BHLHE40	t0.5_t0	9.183785134059514	0.02
norm_wmean	BHLHE40	t1_t0.5	-1.6011199835393928	0.1
norm_wmean	BHLHE40	t2_t1	-5.433450926078792	0.02
norm_wmean	BHLHE40	t3_t2	0.5462511147113212	0.8799999999999999
norm_wmean	BHLHE40	t4_t3	-0.24879633217841945	0.6799999999999999
norm_wmean	BHLHE40	t8_t4	-4.222081883527599	0.02
norm_wmean	CDX2	t0.5_t0	0.7131938876585497	0.15999999999999992
norm_wmean	CDX2	t1_t0.5	0.49808323985086167	0.3999999999999999
norm_wmean	CDX2	t2_t1	0.10942287935349018	0.78
norm_wmean	CDX2	t3_t2	-3.144366058988393	0.02
norm_wmean	CDX2	t4_t3	-1.13441552798107	0.26
norm_wmean	CDX2	t8_t4	-0.6193142200793729	0.32000000000000006
norm_wmean	CEBPA	t0.5_t0	1.9709742279773208	0.06000000000000005
norm_wmean	CEBPA	t1_t0.5	-1.3448587437492399	0.16
norm_wmean	CEBPA	t2_t1	3.129407130073124	0.020000000000000018
norm_wmean	CEBPA	t3_t2	-2.631991888937208	0.02
norm_wmean	CEBPA	t4_t3	-2.1043965476039155	0.06
norm_wmean	CEBPA	t8_t4	-4.246312411040561	0.72
norm_wmean	CEBPB	t0.5_t0	6.590530065077952	0.02
norm_wmean	CEBPB	t1_t0.5	-0.6856090079515704	0.66
norm_wmean	CEBPB	t2_t1	0.42990291736436836	0.41999999999999993
norm_wmean	CEBPB	t3_t2	-0.7630522964157691	0.58
norm_wmean	CEBPB	t4_t3	0.24256214348135968	0.020000000000000018
norm_wmean	CEBPB	t8_t4	-3.429682466407588	0.04
norm_wmean	CLOCK	t0.5_t0	3.288741874863975	0.36
norm_wmean	CLOCK	t1_t0.5	-0.0635962794351948	0.5
norm_wmean	CLOCK	t2_t1	-0.6017479659289602	0.46
norm_wmean	CLOCK	t3_t2	-0.456555653823614	0.76
